Date,Price,Open,High,Low,Change %,DPB
02/24/2013,1.4130,1.5720,1.6350,1.4040,-9.89%,-10.67274
02/17/2013,1.5680,1.6480,1.6800,1.5580,-5.49%,-3.83099
02-10-2013,1.6590,1.5890,1.6990,1.5880,3.04%,-5.05305
02-03-2013,1.6100,1.7140,1.7150,1.5850,-3.30%,12.76
01/27/2013,1.6650,1.6580,1.7340,1.6340,1.65%,12.76
01/20/2013,1.6380,1.5700,1.6530,1.5050,5.13%,1.83677000000001
01/13/2013,1.5580,1.5720,1.6420,1.4720,-1.64%,1.15167
01-06-2013,1.5840,1.5330,1.6120,1.4620,2.52%,15.735
12/30/2012,1.5450,1.3720,1.5640,1.3710,18.30%,15.735
12/23/2012,1.3060,1.3880,1.3950,1.2920,-5.36%,-3.73639999999999
12/16/2012,1.3800,1.3810,1.4600,1.3580,1.85%,1.22709
12-09-2012,1.3550,1.2960,1.3810,1.2580,4.55%,-2.8689
12-02-2012,1.2960,1.3690,1.4510,1.2810,-6.29%,-10.50731
11/25/2012,1.3830,1.4360,1.4620,1.3500,-3.82%,-10.50731
11/18/2012,1.4380,1.3420,1.4500,1.3380,9.10%,5.61591
11-11-2012,1.3180,1.3460,1.3730,1.3150,-1.93%,-6.77345999999999
11-04-2012,1.3440,1.4370,1.4670,1.3150,-7.44%,-3.72051
10/28/2012,1.4520,1.5110,1.5230,1.4370,-5.96%,-3.72051
10/21/2012,1.5440,1.5950,1.6420,1.5090,-3.62%,1.7089
10/14/2012,1.6020,1.4570,1.6610,1.4540,9.80%,5.9222
10-07-2012,1.4590,1.4810,1.5240,1.4440,-4.52%,-1.97793
09/30/2012,1.5280,1.4490,1.5330,1.4290,6.56%,-1.97793
09/23/2012,1.4340,1.5650,1.6000,1.4150,-10.26%,-6.93136
09/16/2012,1.5980,1.6920,1.7370,1.5600,-6.55%,-3.43629
09-09-2012,1.7100,1.5220,1.7210,1.4940,12.35%,-0.548049999999999
09-02-2012,1.5220,1.3340,1.6340,1.3240,13.58%,2.53038
08/26/2012,1.3400,1.3440,1.4070,1.3040,-1.98%,2.53038
08/19/2012,1.3670,1.5260,1.5850,1.3190,-8.19%,-10.79836
08-12-2012,1.4890,1.3840,1.5870,1.3630,7.66%,3.30589
08-05-2012,1.3830,1.4190,1.4820,1.3550,-1.78%,-1.80599
07/29/2012,1.4080,1.3990,1.4260,1.2430,1.15%,-1.80599
07/22/2012,1.3920,1.3920,1.3920,1.3920,19.79%,5.90476
07/15/2012,1.1620,1.1620,1.1620,1.1620,-8.00%,-3.97908
07-08-2012,1.2630,1.2630,1.2630,1.2630,-5.53%,-15.04567
07-01-2012,1.3370,1.3370,1.3370,1.3370,-16.70%,5.79687000000001
06/24/2012,1.6050,1.6050,1.6050,1.6050,1.78%,5.79687000000001
06/17/2012,1.5770,1.5770,1.5770,1.5770,9.97%,1.28207999999999
